(.venv_cuda) PS F:\169\DEEPFAKE-Detection> python .\training\Appreanch\150_appreanch_train.py
======================================================================
APPEARANCE BRANCH - 150 SOURCE GROUP TEST
======================================================================
Device                : cuda
Batch Size            : 8
Gradient Accumulation : 2
Effective Batch Size  : 16
Epochs                : 3
Train CSV             : data/split/test_150/train.csv
Validation CSV        : data/split/test_150/val.csv
Checkpoint Directory  : checkpoints/appearance_test_150
======================================================================

Training samples      : 45,652
Validation samples    : 11,067
Loading weights: 100%|███████████████████████████████████████████████████████████████████████████████████████████████| 173/173 [00:00<00:00, 13880.19it/s]
Trainable Parameters  : 525,571

======================================================================
STARTING 150-SOURCE-GROUP TEST TRAINING
======================================================================

F:\169\.venv_cuda\Lib\site-packages\torch\utils\data\dataloader.py:1102: UserWarning: pin_memory_device is deprecated, the current accelerator will be used as the device,ignore pin_memory_device='cuda'.
  super().__init__(loader)
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Step 4260/5707   Loss: 0.1629
Step 4280/5707   Loss: 0.1629
Step 4300/5707   Loss: 0.1628
Step 4320/5707   Loss: 0.1628
Step 4340/5707   Loss: 0.1627
Step 4360/5707   Loss: 0.1626
Step 4380/5707   Loss: 0.1624
Step 4400/5707   Loss: 0.1623
Step 4420/5707   Loss: 0.1622
Step 4440/5707   Loss: 0.1618
Step 4460/5707   Loss: 0.1617
Step 4480/5707   Loss: 0.1622
Step 4500/5707   Loss: 0.1623
Step 4520/5707   Loss: 0.1622
Step 4540/5707   Loss: 0.1620
Step 4560/5707   Loss: 0.1619
Step 4580/5707   Loss: 0.1615
Step 4600/5707   Loss: 0.1616
Step 4620/5707   Loss: 0.1616
Step 4640/5707   Loss: 0.1618
Step 4660/5707   Loss: 0.1617
Step 4680/5707   Loss: 0.1618
Step 4700/5707   Loss: 0.1616
Step 4720/5707   Loss: 0.1616
Step 4740/5707   Loss: 0.1618
Step 4760/5707   Loss: 0.1620
Step 4780/5707   Loss: 0.1618
Step 4800/5707   Loss: 0.1618
Step 4820/5707   Loss: 0.1618
Step 4840/5707   Loss: 0.1619
Step 4860/5707   Loss: 0.1615
Step 4880/5707   Loss: 0.1613
Step 4900/5707   Loss: 0.1614
Step 4920/5707   Loss: 0.1613
Step 4940/5707   Loss: 0.1613
Step 4960/5707   Loss: 0.1612
Step 4980/5707   Loss: 0.1610
Step 5000/5707   Loss: 0.1610
Step 5020/5707   Loss: 0.1609
Step 5040/5707   Loss: 0.1610
Step 5060/5707   Loss: 0.1611
Step 5080/5707   Loss: 0.1612
Step 5100/5707   Loss: 0.1613
Step 5120/5707   Loss: 0.1612
Step 5140/5707   Loss: 0.1614
Step 5160/5707   Loss: 0.1612
Step 5180/5707   Loss: 0.1613
Step 5200/5707   Loss: 0.1612
Step 5220/5707   Loss: 0.1611
Step 5240/5707   Loss: 0.1612
Step 5260/5707   Loss: 0.1609
Step 5280/5707   Loss: 0.1609
Step 5300/5707   Loss: 0.1610
Step 5320/5707   Loss: 0.1609
Step 5340/5707   Loss: 0.1610
Step 5360/5707   Loss: 0.1610
Step 5380/5707   Loss: 0.1610
Step 5400/5707   Loss: 0.1609
Step 5420/5707   Loss: 0.1608
Step 5440/5707   Loss: 0.1606
Step 5460/5707   Loss: 0.1606
Step 5480/5707   Loss: 0.1606
Step 5500/5707   Loss: 0.1605
Step 5520/5707   Loss: 0.1604
Step 5540/5707   Loss: 0.1603
Step 5560/5707   Loss: 0.1602
Step 5580/5707   Loss: 0.1602
Step 5600/5707   Loss: 0.1602
Step 5620/5707   Loss: 0.1602
Step 5640/5707   Loss: 0.1601
Step 5660/5707   Loss: 0.1601
Step 5680/5707   Loss: 0.1601
Step 5700/5707   Loss: 0.1600
Step 5707/5707   Loss: 0.1599

======================================================================
Epoch 2/3
======================================================================
Train Loss          : 0.1599
Train Accuracy      : 0.9215
Validation Loss     : 0.2787
Validation Accuracy : 0.8552
Avg Uncertainty     : 0.1897
Time                : 8334.6s
Checkpoint saved -> checkpoints/appearance_test_150\last.pt

Step 20/5707   Loss: 0.1190
Step 40/5707   Loss: 0.1315
Step 60/5707   Loss: 0.1483
Step 80/5707   Loss: 0.1506
Step 100/5707   Loss: 0.1461
Step 120/5707   Loss: 0.1447
Step 140/5707   Loss: 0.1464
Step 160/5707   Loss: 0.1463
Step 180/5707   Loss: 0.1500
Step 200/5707   Loss: 0.1493
Step 220/5707   Loss: 0.1474
Step 240/5707   Loss: 0.1530
Step 260/5707   Loss: 0.1530
Step 280/5707   Loss: 0.1520
Step 300/5707   Loss: 0.1501
Step 320/5707   Loss: 0.1509
Step 340/5707   Loss: 0.1472
Step 360/5707   Loss: 0.1504
Step 380/5707   Loss: 0.1507
Step 400/5707   Loss: 0.1498
Step 420/5707   Loss: 0.1482
Step 440/5707   Loss: 0.1490
Step 460/5707   Loss: 0.1503
Step 480/5707   Loss: 0.1490
Step 500/5707   Loss: 0.1490
Step 520/5707   Loss: 0.1487
Step 540/5707   Loss: 0.1484
Step 560/5707   Loss: 0.1497
Step 580/5707   Loss: 0.1516
Step 600/5707   Loss: 0.1516
Step 620/5707   Loss: 0.1505
Step 640/5707   Loss: 0.1509
Step 660/5707   Loss: 0.1497
Step 680/5707   Loss: 0.1502
Step 700/5707   Loss: 0.1489
Step 720/5707   Loss: 0.1494
Step 740/5707   Loss: 0.1519
Step 760/5707   Loss: 0.1516
Step 780/5707   Loss: 0.1515
Step 800/5707   Loss: 0.1523
Step 820/5707   Loss: 0.1544
Step 840/5707   Loss: 0.1550
Step 860/5707   Loss: 0.1540
Step 880/5707   Loss: 0.1542
Step 900/5707   Loss: 0.1533
Step 920/5707   Loss: 0.1553
Step 940/5707   Loss: 0.1557
Step 960/5707   Loss: 0.1551
Step 980/5707   Loss: 0.1545
Step 1000/5707   Loss: 0.1534
Step 1020/5707   Loss: 0.1530
Step 1040/5707   Loss: 0.1544
Step 1060/5707   Loss: 0.1539
Step 1080/5707   Loss: 0.1544
